CARRIER,DEP_TIME,DEST,FL_DATE,FL_NUM,ORIGIN,TAIL_NUM,Flight Status
OH,1455,JFK,01-01-2004,5935,BWI,N940CA,ontime
DH,1640,JFK,01-01-2004,6155,DCA,N405FJ,ontime
DH,1245,LGA,01-01-2004,7208,IAD,N695BR,ontime
DH,1709,LGA,01-01-2004,7215,IAD,N662BR,ontime
DH,1035,LGA,01-01-2004,7792,IAD,N698BR,ontime
DH,839,JFK,01-01-2004,7800,IAD,N687BR,ontime
DH,1243,JFK,01-01-2004,7806,IAD,N321UE,ontime
DH,1644,JFK,01-01-2004,7810,IAD,N301UE,ontime
DH,1710,JFK,01-01-2004,7812,IAD,N328UE,ontime
DH,2129,JFK,01-01-2004,7814,IAD,N685BR,ontime
DH,2114,LGA,01-01-2004,7924,IAD,N645BR,ontime
DL,1458,JFK,01-01-2004,746,DCA,N918DE,ontime
DL,932,LGA,01-01-2004,1746,DCA,N242DL,ontime
DL,1228,LGA,01-01-2004,1752,DCA,N241DL,ontime
DL,1429,LGA,01-01-2004,1756,DCA,N242DL,ontime
DL,1728,LGA,01-01-2004,1762,DCA,N241DL,ontime
DL,2029,LGA,01-01-2004,1768,DCA,N242DL,ontime
MQ,1525,JFK,01-01-2004,4752,DCA,N709MQ,ontime
MQ,556,JFK,01-01-2004,4760,DCA,N717MQ,ontime
MQ,1822,JFK,01-01-2004,4784,DCA,N707MQ,ontime
MQ,853,LGA,01-01-2004,4956,DCA,N737MQ,ontime
MQ,1254,LGA,01-01-2004,4964,DCA,N717MQ,ontime
MQ,1356,LGA,01-01-2004,4966,DCA,N726MQ,ontime
MQ,1452,LGA,01-01-2004,4968,DCA,N724MQ,ontime
MQ,1853,LGA,01-01-2004,4976,DCA,N724MQ,ontime
UA,841,LGA,01-01-2004,846,IAD,N513UA,ontime
US,858,LGA,01-01-2004,2164,DCA,N709UW,ontime
US,1056,LGA,01-01-2004,2168,DCA,N748UW,ontime
US,1253,LGA,01-01-2004,2172,DCA,N709UW,ontime
US,1458,LGA,01-01-2004,2176,DCA,N748UW,ontime
US,1655,LGA,01-01-2004,2180,DCA,N709UW,ontime
US,2055,LGA,01-01-2004,2188,DCA,N709UW,ontime
RU,1452,EWR,01-01-2004,2403,BWI,N14916,ontime
RU,1710,EWR,01-01-2004,2675,BWI,N16954,ontime
RU,1030,EWR,01-01-2004,2303,BWI,N26549,ontime
RU,656,EWR,01-01-2004,2703,BWI,N16954,ontime
CO,1256,EWR,01-01-2004,808,DCA,N18611,ontime
CO,1726,EWR,01-01-2004,814,DCA,N19357,ontime
DH,840,EWR,01-01-2004,7299,IAD,N691BR,ontime
DH,1704,EWR,01-01-2004,7302,IAD,N691BR,ontime
DH,1245,EWR,01-01-2004,7303,IAD,N697BR,ontime
