"age","workclass","fnlwgt","education","educationnum","maritalstatus","occupation","relationship","race","sex","capitalgain","capitaloss","hrsperweek","nativecountry","class"
71,NA,205011," Some-college",10," Married-civ-spouse",NA," Husband"," White"," Male",0,0,10," United-States"," <=50K"
30," Self-emp-not-inc",523095," Some-college",10," Never-married"," Craft-repair"," Not-in-family"," White"," Male",0,0,45," United-States"," <=50K"
29," Private",59732," HS-grad",9," Married-civ-spouse"," Craft-repair"," Husband"," Amer-Indian-Eskimo"," Male",0,0,40," United-States"," <=50K"
29,NA,19793," Some-college",10," Divorced",NA," Unmarried"," White"," Female",0,0,8," United-States"," <=50K"
44," Private",321824," Doctorate",16," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,0,20," United-States"," <=50K"
21," Private",155066," Some-college",10," Never-married"," Craft-repair"," Own-child"," White"," Male",0,0,40," United-States"," <=50K"
51," Private",224763," 7th-8th",4," Married-civ-spouse"," Transport-moving"," Husband"," White"," Male",0,0,40," Cuba"," <=50K"
48," Private",299291," HS-grad",9," Married-civ-spouse"," Transport-moving"," Husband"," White"," Male",0,0,44," United-States"," <=50K"
31," Private",199655," Masters",14," Divorced"," Other-service"," Not-in-family"," Other"," Female",0,0,30," United-States"," <=50K"
48," Self-emp-not-inc",209146," HS-grad",9," Married-civ-spouse"," Transport-moving"," Husband"," White"," Male",0,0,60," United-States"," <=50K"
42," Self-emp-inc",282069," HS-grad",9," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,40," United-States"," <=50K"
18," Private",126142," 10th",6," Never-married"," Craft-repair"," Own-child"," White"," Male",0,0,30," United-States"," <=50K"
29," Private",166210," Some-college",10," Divorced"," Tech-support"," Not-in-family"," White"," Male",0,0,55," United-States"," <=50K"
43," Private",188786," Some-college",10," Divorced"," Transport-moving"," Not-in-family"," White"," Male",0,0,45," United-States"," <=50K"
62,NA,266037," Some-college",10," Married-civ-spouse",NA," Husband"," White"," Male",0,0,40," United-States"," <=50K"
42," Local-gov",143046," HS-grad",9," Widowed"," Transport-moving"," Unmarried"," White"," Female",0,0,40," United-States"," <=50K"
63," Private",156127," Some-college",10," Married-civ-spouse"," Handlers-cleaners"," Husband"," White"," Male",0,0,45," United-States"," <=50K"
21,NA,116934," Some-college",10," Never-married",NA," Own-child"," White"," Female",0,0,40," United-States"," <=50K"
24," Private",200973," Some-college",10," Never-married"," Adm-clerical"," Not-in-family"," White"," Female",0,0,40," United-States"," <=50K"
80,NA,172826," HS-grad",9," Married-civ-spouse",NA," Husband"," White"," Male",0,0,8," United-States"," <=50K"
22," Private",198148," Some-college",10," Never-married"," Adm-clerical"," Own-child"," White"," Male",0,0,50," United-States"," <=50K"
27," Private",360527," HS-grad",9," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,40," United-States"," <=50K"
42," Federal-gov",208470," HS-grad",9," Married-civ-spouse"," Machine-op-inspct"," Husband"," White"," Male",0,0,40," United-States"," <=50K"
53," Private",263729," Some-college",10," Separated"," Adm-clerical"," Not-in-family"," White"," Female",0,0,40," United-States"," <=50K"
37," State-gov",49105," HS-grad",9," Divorced"," Adm-clerical"," Unmarried"," White"," Female",0,0,25," United-States"," <=50K"
33," Private",598802," Some-college",10," Divorced"," Adm-clerical"," Unmarried"," Black"," Female",0,0,40," United-States"," <=50K"
42," Private",287129," Bachelors",13," Divorced"," Prof-specialty"," Not-in-family"," Black"," Male",0,0,40," United-States"," <=50K"
34," Self-emp-inc",127651," Bachelors",13," Divorced"," Farming-fishing"," Not-in-family"," White"," Male",0,0,60," United-States"," <=50K"
31," Private",27856," HS-grad",9," Never-married"," Other-service"," Unmarried"," White"," Female",0,0,8," United-States"," <=50K"
31," Private",33117," HS-grad",9," Divorced"," Exec-managerial"," Not-in-family"," White"," Male",0,0,50," United-States"," <=50K"
25," Private",371987," HS-grad",9," Divorced"," Adm-clerical"," Not-in-family"," White"," Female",0,0,40," United-States"," <=50K"
31," Private",262024," HS-grad",9," Married-civ-spouse"," Machine-op-inspct"," Husband"," Black"," Male",0,0,40," United-States"," <=50K"
18," Private",192485," 12th",8," Never-married"," Handlers-cleaners"," Own-child"," Black"," Male",0,0,20," United-States"," <=50K"
48," Private",192791," HS-grad",9," Married-civ-spouse"," Machine-op-inspct"," Husband"," White"," Male",0,0,40," United-States"," <=50K"
24," Self-emp-not-inc",34918," Assoc-voc",11," Never-married"," Other-service"," Unmarried"," White"," Female",0,0,38," United-States"," <=50K"
28," Private",163320," HS-grad",9," Never-married"," Transport-moving"," Own-child"," White"," Male",0,0,40," United-States"," <=50K"
35," Private",186886," HS-grad",9," Divorced"," Exec-managerial"," Unmarried"," White"," Female",0,0,55," United-States"," <=50K"
29," Private",31360," Some-college",10," Never-married"," Farming-fishing"," Own-child"," White"," Male",0,0,40," United-States"," <=50K"
30," Private",87054," HS-grad",9," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,50," United-States"," <=50K"
66," Private",216856," Masters",14," Married-civ-spouse"," Sales"," Husband"," White"," Male",0,0,50," United-States"," <=50K"
48," Private",178137," HS-grad",9," Divorced"," Machine-op-inspct"," Unmarried"," White"," Female",0,0,44," United-States"," <=50K"
22," Private",137862," Some-college",10," Never-married"," Adm-clerical"," Other-relative"," White"," Female",0,0,16," United-States"," <=50K"
56," Private",178202," Some-college",10," Married-civ-spouse"," Machine-op-inspct"," Husband"," White"," Male",0,0,40," United-States"," <=50K"
25," Private",185836," Some-college",10," Never-married"," Other-service"," Not-in-family"," White"," Female",0,0,40," United-States"," <=50K"
79,NA,142171," 7th-8th",4," Married-civ-spouse",NA," Husband"," White"," Male",1409,0,35," United-States"," <=50K"
26," Private",248057," HS-grad",9," Separated"," Handlers-cleaners"," Own-child"," White"," Male",0,0,40," Puerto-Rico"," <=50K"
20," Private",339588," HS-grad",9," Married-civ-spouse"," Other-service"," Wife"," White"," Female",0,0,40," Peru"," <=50K"
41,NA,211873," Assoc-voc",11," Married-civ-spouse",NA," Wife"," White"," Female",0,1628,5,NA," <=50K"
39," Federal-gov",116369," Some-college",10," Married-civ-spouse"," Adm-clerical"," Husband"," White"," Male",0,0,48," United-States"," <=50K"
